,date,area_name,area_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
12046,2021-02-07,Hackney,E09000012,-76,-26,-33,-71,-35,14
10098,2021-02-07,Ealing,E09000009,-63,-23,-37,-66,-41,13
31526,2021-02-07,Kensington and Chelsea,E09000020,-87,-36,-52,-80,-47,15
5228,2021-02-07,Bexley,E09000004,-72,-31,-24,-68,-36,13
28604,2021-02-07,Waltham Forest,E09000031,-58,-26,-36,-66,-45,13
8150,2021-02-07,Camden,E09000007,-87,-53,-50,-83,-46,15
21786,2021-02-07,Merton,E09000024,-70,-35,-42,-71,-37,14
23734,2021-02-07,Redbridge,E09000026,-63,-27,-52,-65,-37,12
2306,2021-02-07,Westminster,E09000033,-94,-59,-83,-86,-53,16
9124,2021-02-07,Croydon,E09000008,-73,-30,-11,-69,-32,13
29578,2021-02-07,Wandsworth,E09000032,-75,-40,-36,-73,-40,16
30552,2021-02-07,Greenwich,E09000011,-76,-34,-49,-67,-43,14
4254,2021-02-07,Barnet,E09000003,-69,-30,-28,-65,-41,14
1332,2021-02-07,City of London,E09000001,-92,-78,-94,-83,,
24708,2021-02-07,Richmond upon Thames,E09000027,-74,-23,-35,-74,-50,15
22760,2021-02-07,Newham,E09000025,-71,-35,-5,-66,-38,12
11072,2021-02-07,Enfield,E09000010,-64,-27,-49,-60,-36,12
32500,2021-02-07,Kingston upon Thames,E09000021,-81,-36,-28,-66,-45,14
19837,2021-02-06,Lambeth,E09000022,-73,-14,-31,-70,-37,16
8149,2021-02-06,Camden,E09000007,-84,-43,-30,-80,-40,17
1331,2021-02-06,City of London,E09000001,-92,-61,-88,-81,,
18863,2021-02-06,Islington,E09000019,-80,-15,17,-70,-37,17
9123,2021-02-06,Croydon,E09000008,-64,-12,34,-64,-29,14
13019,2021-02-06,Hammersmith and Fulham,E09000013,-81,-29,-3,-72,-48,17
31525,2021-02-06,Kensington and Chelsea,E09000020,-84,-21,-30,-78,-42,16
12045,2021-02-06,Hackney,E09000012,-74,-13,8,-68,-37,15
3279,2021-02-06,Barking and Dagenham,E09000002,-49,-10,-2,-51,-32,12
22759,2021-02-06,Newham,E09000025,-67,-22,53,-64,-37,14
27629,2021-02-06,Tower Hamlets,E09000030,-65,-28,-41,-70,-41,16
20811,2021-02-06,Lewisham,E09000023,-54,-11,20,-60,-38,16
30551,2021-02-06,Greenwich,E09000011,-67,-16,-26,-57,-36,15
13993,2021-02-06,Haringey,E09000014,-61,-22,-3,-63,-46,16
21785,2021-02-06,Merton,E09000024,-63,-18,-4,-65,-36,16
23733,2021-02-06,Redbridge,E09000026,-53,-14,-21,-58,-32,14
15941,2021-02-06,Havering,E09000016,-63,-17,-7,-51,-26,14
29577,2021-02-06,Wandsworth,E09000032,-69,-16,7,-66,-37,18
5227,2021-02-06,Bexley,E09000004,-61,-10,21,-64,-27,14
24707,2021-02-06,Richmond upon Thames,E09000027,-65,-6,2,-66,-43,16
32499,2021-02-06,Kingston upon Thames,E09000021,-74,-19,25,-65,-35,16
11071,2021-02-06,Enfield,E09000010,-55,-14,-8,-55,-30,14
4253,2021-02-06,Barnet,E09000003,-59,-15,30,-59,-36,15
2305,2021-02-06,Westminster,E09000033,-93,-52,-74,-84,-48,17
14967,2021-02-06,Harrow,E09000015,-61,-8,62,-53,-27,14
26655,2021-02-06,Sutton,E09000029,-60,-18,8,-66,-36,15
10097,2021-02-06,Ealing,E09000009,-56,-13,25,-60,-37,15
28603,2021-02-06,Waltham Forest,E09000031,-51,-13,-10,-60,-39,15
16915,2021-02-06,Hillingdon,E09000017,-56,-14,60,-74,-28,14
6201,2021-02-06,Brent,E09000005,-62,-10,40,-56,-39,14
7175,2021-02-06,Bromley,E09000006,-62,-10,3,-62,-32,15
25681,2021-02-06,Southwark,E09000028,-70,-27,-25,-71,-38,16
17889,2021-02-06,Hounslow,E09000018,-54,-10,2,-57,-33,14
10096,2021-02-05,Ealing,E09000009,-49,-11,40,-62,-55,23
13018,2021-02-05,Hammersmith and Fulham,E09000013,-74,-24,14,-67,-68,29
27628,2021-02-05,Tower Hamlets,E09000030,-67,-22,-23,-73,-69,29
4252,2021-02-05,Barnet,E09000003,-53,-14,71,-61,-57,24
15940,2021-02-05,Havering,E09000016,-56,-11,35,-54,-53,22
21784,2021-02-05,Merton,E09000024,-59,-11,31,-63,-58,25
2304,2021-02-05,Westminster,E09000033,-91,-48,-62,-81,-70,27
8148,2021-02-05,Camden,E09000007,-84,-36,0,-80,-69,29
26654,2021-02-05,Sutton,E09000029,-53,-14,73,-66,-59,24
31524,2021-02-05,Kensington and Chelsea,E09000020,-79,-14,-5,-70,-66,25
1330,2021-02-05,City of London,E09000001,-94,-73,-89,-84,-71,
16914,2021-02-05,Hillingdon,E09000017,-55,-11,40,-73,-52,23
3278,2021-02-05,Barking and Dagenham,E09000002,-43,-1,70,-48,-46,18
30550,2021-02-05,Greenwich,E09000011,-60,-7,30,-55,-60,24
17888,2021-02-05,Hounslow,E09000018,-48,-14,38,-57,-53,21
6200,2021-02-05,Brent,E09000005,-54,-5,64,-57,-54,22
24706,2021-02-05,Richmond upon Thames,E09000027,-62,-6,57,-66,-69,27
32498,2021-02-05,Kingston upon Thames,E09000021,-67,-17,,-65,-61,26
28602,2021-02-05,Waltham Forest,E09000031,-45,-6,43,-62,-57,23
29576,2021-02-05,Wandsworth,E09000032,-64,-8,47,-63,-65,30
11070,2021-02-05,Enfield,E09000010,-48,-8,23,-55,-49,21
23732,2021-02-05,Redbridge,E09000026,-47,-7,40,-60,-57,22
14966,2021-02-05,Harrow,E09000015,-58,-9,56,-62,-55,23
5226,2021-02-05,Bexley,E09000004,-56,-9,71,-64,-53,22
20810,2021-02-05,Lewisham,E09000023,-45,-2,77,-61,-63,26
18862,2021-02-05,Islington,E09000019,-79,-21,41,-75,-70,31
22758,2021-02-05,Newham,E09000025,-59,-10,171,-59,-56,21
9122,2021-02-05,Croydon,E09000008,-57,-4,66,-62,-54,23
19836,2021-02-05,Lambeth,E09000022,-69,-8,14,-72,-64,29
12044,2021-02-05,Hackney,E09000012,-68,0,54,-65,-62,25
13992,2021-02-05,Haringey,E09000014,-53,-14,47,-62,-61,25
7174,2021-02-05,Bromley,E09000006,-56,-5,52,-63,-60,25
25680,2021-02-05,Southwark,E09000028,-67,-18,-5,-69,-64,28
29575,2021-02-04,Wandsworth,E09000032,-67,-20,1,-67,-69,33
3277,2021-02-04,Barking and Dagenham,E09000002,-44,-12,0,-52,-49,19
22757,2021-02-04,Newham,E09000025,-62,-20,72,-64,-58,22
1329,2021-02-04,City of London,E09000001,-94,-78,-91,-86,-74,
16913,2021-02-04,Hillingdon,E09000017,-56,-18,23,-74,-54,23
13991,2021-02-04,Haringey,E09000014,-57,-24,-8,-64,-63,26
21783,2021-02-04,Merton,E09000024,-61,-24,-17,-67,-63,27
8147,2021-02-04,Camden,E09000007,-86,-45,-38,-82,-72,31
25679,2021-02-04,Southwark,E09000028,-70,-29,-32,-74,-65,29
19835,2021-02-04,Lambeth,E09000022,-70,-19,-19,-75,-66,30
30549,2021-02-04,Greenwich,E09000011,-61,-16,-13,-62,-63,26
23731,2021-02-04,Redbridge,E09000026,-50,-20,-22,-67,-59,23
4251,2021-02-04,Barnet,E09000003,-55,-22,9,-65,-60,26
18861,2021-02-04,Islington,E09000019,-81,-32,-12,-78,-73,33
32497,2021-02-04,Kingston upon Thames,E09000021,-72,-28,,-69,-64,28
28601,2021-02-04,Waltham Forest,E09000031,-47,-12,-14,-64,-59,24
12043,2021-02-04,Hackney,E09000012,-70,-16,7,-69,-64,27
20809,2021-02-04,Lewisham,E09000023,-50,-7,26,-66,-65,28
24705,2021-02-04,Richmond upon Thames,E09000027,-66,-16,7,-71,-72,30
31523,2021-02-04,Kensington and Chelsea,E09000020,-79,-23,-28,-73,-68,28
5225,2021-02-04,Bexley,E09000004,-56,-14,12,-67,-55,23
11069,2021-02-04,Enfield,E09000010,-49,-14,-23,-60,-52,22
10095,2021-02-04,Ealing,E09000009,-51,-17,4,-64,-56,24
17887,2021-02-04,Hounslow,E09000018,-54,-23,1,-62,-55,23
7173,2021-02-04,Bromley,E09000006,-58,-15,1,-69,-63,27
6199,2021-02-04,Brent,E09000005,-54,-16,13,-61,-56,22
2303,2021-02-04,Westminster,E09000033,-92,-55,-70,-83,-71,29
15939,2021-02-04,Havering,E09000016,-57,-17,-22,-58,-54,23
27627,2021-02-04,Tower Hamlets,E09000030,-71,-35,-45,-76,-72,31
14965,2021-02-04,Harrow,E09000015,-59,-21,8,-64,-56,24
9121,2021-02-04,Croydon,E09000008,-57,-13,15,-67,-56,24
13017,2021-02-04,Hammersmith and Fulham,E09000013,-75,-31,-20,-70,-70,30
26653,2021-02-04,Sutton,E09000029,-55,-21,3,-70,-61,25
2302,2021-02-03,Westminster,E09000033,-91,-52,-69,-82,-72,28
16912,2021-02-03,Hillingdon,E09000017,-54,-19,45,-74,-54,22
28600,2021-02-03,Waltham Forest,E09000031,-46,-13,-6,-62,-58,23
4250,2021-02-03,Barnet,E09000003,-54,-21,24,-63,-59,26
6198,2021-02-03,Brent,E09000005,-52,-13,33,-60,-55,22
10094,2021-02-03,Ealing,E09000009,-49,-19,14,-63,-57,23
30548,2021-02-03,Greenwich,E09000011,-61,-18,-23,-61,-62,25
1328,2021-02-03,City of London,E09000001,-94,-77,-91,-86,-75,
21782,2021-02-03,Merton,E09000024,-62,-27,-13,-67,-62,27
17886,2021-02-03,Hounslow,E09000018,-52,-22,4,-61,-53,22
15938,2021-02-03,Havering,E09000016,-58,-25,-24,-59,-54,22
9120,2021-02-03,Croydon,E09000008,-58,-18,5,-66,-56,24
3276,2021-02-03,Barking and Dagenham,E09000002,-44,-10,1,-55,-49,19
24704,2021-02-03,Richmond upon Thames,E09000027,-67,-18,-1,-71,-72,30
31522,2021-02-03,Kensington and Chelsea,E09000020,-79,-20,-23,-73,-67,27
32496,2021-02-03,Kingston upon Thames,E09000021,-70,-28,40,-68,-63,27
20808,2021-02-03,Lewisham,E09000023,-51,-13,20,-66,-63,28
8146,2021-02-03,Camden,E09000007,-85,-46,-26,-81,-72,30
18860,2021-02-03,Islington,E09000019,-80,-34,2,-77,-73,32
25678,2021-02-03,Southwark,E09000028,-69,-30,-31,-72,-67,28
13016,2021-02-03,Hammersmith and Fulham,E09000013,-74,-33,-16,-70,-70,29
26652,2021-02-03,Sutton,E09000029,-56,-21,-11,-70,-61,25
23730,2021-02-03,Redbridge,E09000026,-51,-18,-17,-63,-58,23
13990,2021-02-03,Haringey,E09000014,-58,-24,-1,-66,-63,26
27626,2021-02-03,Tower Hamlets,E09000030,-69,-34,-41,-74,-71,30
14964,2021-02-03,Harrow,E09000015,-55,-17,33,-62,-55,23
29574,2021-02-03,Wandsworth,E09000032,-66,-22,8,-68,-68,32
22756,2021-02-03,Newham,E09000025,-63,-24,94,-62,-56,22
19834,2021-02-03,Lambeth,E09000022,-70,-21,-16,-76,-65,30
12042,2021-02-03,Hackney,E09000012,-67,-17,18,-69,-65,27
11068,2021-02-03,Enfield,E09000010,-50,-15,-13,-60,-52,22
7172,2021-02-03,Bromley,E09000006,-59,-18,-10,-67,-63,27
5224,2021-02-03,Bexley,E09000004,-57,-20,-3,-67,-56,23
28599,2021-02-02,Waltham Forest,E09000031,-46,-13,23,-61,-61,23
29573,2021-02-02,Wandsworth,E09000032,-65,-21,23,-65,-69,31
16911,2021-02-02,Hillingdon,E09000017,-52,-17,41,-74,-55,22
20807,2021-02-02,Lewisham,E09000023,-48,-12,50,-65,-65,26
25677,2021-02-02,Southwark,E09000028,-67,-27,-18,-71,-67,27
5223,2021-02-02,Bexley,E09000004,-54,-16,39,-66,-57,22
26651,2021-02-02,Sutton,E09000029,-53,-19,34,-69,-61,24
15937,2021-02-02,Havering,E09000016,-55,-17,-1,-57,-55,21
12041,2021-02-02,Hackney,E09000012,-66,-17,39,-67,-65,25
6197,2021-02-02,Brent,E09000005,-52,-13,44,-59,-56,21
3275,2021-02-02,Barking and Dagenham,E09000002,-41,-16,40,-50,-51,18
14963,2021-02-02,Harrow,E09000015,-54,-16,36,-60,-55,23
31521,2021-02-02,Kensington and Chelsea,E09000020,-78,-18,-12,-72,-69,25
9119,2021-02-02,Croydon,E09000008,-55,-13,37,-65,-57,23
19833,2021-02-02,Lambeth,E09000022,-69,-19,2,-73,-65,28
10093,2021-02-02,Ealing,E09000009,-49,-18,31,-61,-57,23
8145,2021-02-02,Camden,E09000007,-84,-43,-16,-80,-72,29
13015,2021-02-02,Hammersmith and Fulham,E09000013,-73,-31,-3,-67,-71,28
23729,2021-02-02,Redbridge,E09000026,-48,-11,9,-61,-60,22
13989,2021-02-02,Haringey,E09000014,-53,-20,25,-62,-64,24
22755,2021-02-02,Newham,E09000025,-57,-20,126,-59,-58,21
11067,2021-02-02,Enfield,E09000010,-48,-17,5,-57,-53,21
27625,2021-02-02,Tower Hamlets,E09000030,-68,-29,-29,-73,-72,29
7171,2021-02-02,Bromley,E09000006,-55,-14,15,-66,-63,26
32495,2021-02-02,Kingston upon Thames,E09000021,-68,-24,,-67,-64,26
24703,2021-02-02,Richmond upon Thames,E09000027,-65,-15,23,-69,-73,28
4249,2021-02-02,Barnet,E09000003,-53,-21,45,-61,-60,24
30547,2021-02-02,Greenwich,E09000011,-57,-17,4,-57,-64,24
18859,2021-02-02,Islington,E09000019,-79,-32,12,-76,-73,31
17885,2021-02-02,Hounslow,E09000018,-49,-20,30,-58,-55,22
1327,2021-02-02,City of London,E09000001,-93,-77,-90,-85,-75,
2301,2021-02-02,Westminster,E09000033,-90,-53,-61,-80,-72,28
21781,2021-02-02,Merton,E09000024,-60,-25,17,-64,-63,26
21780,2021-02-01,Merton,E09000024,-60,-23,1,-63,-62,25
1326,2021-02-01,City of London,E09000001,-93,-78,-92,-84,-75,
20806,2021-02-01,Lewisham,E09000023,-49,-16,26,-64,-65,26
8144,2021-02-01,Camden,E09000007,-84,-47,-16,-79,-73,28
26650,2021-02-01,Sutton,E09000029,-54,-21,16,-69,-62,24
23728,2021-02-01,Redbridge,E09000026,-48,-18,-18,-62,-59,22
2300,2021-02-01,Westminster,E09000033,-90,-52,-64,-80,-72,28
18858,2021-02-01,Islington,E09000019,-78,-35,-2,-73,-73,30
22754,2021-02-01,Newham,E09000025,-60,-20,108,-57,-58,21
15936,2021-02-01,Havering,E09000016,-55,-21,-16,-57,-54,21
11066,2021-02-01,Enfield,E09000010,-47,-19,-3,-56,-53,20
14962,2021-02-01,Harrow,E09000015,-54,-18,21,-59,-56,22
31520,2021-02-01,Kensington and Chelsea,E09000020,-79,-21,-21,-71,-68,26
3274,2021-02-01,Barking and Dagenham,E09000002,-44,-16,14,-51,-50,18
7170,2021-02-01,Bromley,E09000006,-56,-17,1,-65,-64,25
32494,2021-02-01,Kingston upon Thames,E09000021,-68,-26,,-67,-64,26
5222,2021-02-01,Bexley,E09000004,-56,-20,18,-65,-57,22
13014,2021-02-01,Hammersmith and Fulham,E09000013,-74,-34,-2,-65,-71,28
16910,2021-02-01,Hillingdon,E09000017,-53,-18,30,-75,-54,21
24702,2021-02-01,Richmond upon Thames,E09000027,-65,-18,12,-69,-72,27
30546,2021-02-01,Greenwich,E09000011,-58,-18,-12,-57,-63,24
17884,2021-02-01,Hounslow,E09000018,-49,-20,6,-58,-55,21
28598,2021-02-01,Waltham Forest,E09000031,-45,-14,-2,-61,-60,22
6196,2021-02-01,Brent,E09000005,-51,-13,34,-57,-56,21
29572,2021-02-01,Wandsworth,E09000032,-66,-24,15,-66,-69,30
4248,2021-02-01,Barnet,E09000003,-55,-22,20,-62,-59,24
19832,2021-02-01,Lambeth,E09000022,-66,-21,-8,-73,-65,28
9118,2021-02-01,Croydon,E09000008,-56,-18,25,-62,-55,22
25676,2021-02-01,Southwark,E09000028,-66,-28,-21,-71,-66,27
10092,2021-02-01,Ealing,E09000009,-50,-19,21,-59,-56,22
13988,2021-02-01,Haringey,E09000014,-54,-24,10,-62,-63,23
12040,2021-02-01,Hackney,E09000012,-66,-19,35,-66,-65,25
27624,2021-02-01,Tower Hamlets,E09000030,-67,-33,-36,-71,-72,28
18857,2021-01-31,Islington,E09000019,-79,-26,18,-76,-37,13
9117,2021-01-31,Croydon,E09000008,-66,-21,32,-62,-30,11
1325,2021-01-31,City of London,E09000001,-89,-70,-88,-82,,
19831,2021-01-31,Lambeth,E09000022,-72,-22,-19,-71,-35,13
16909,2021-01-31,Hillingdon,E09000017,-59,-23,39,-73,-33,12
17883,2021-01-31,Hounslow,E09000018,-57,-26,1,-58,-38,12
3273,2021-01-31,Barking and Dagenham,E09000002,-53,-19,6,-51,-33,10
27623,2021-01-31,Tower Hamlets,E09000030,-67,-46,-39,-70,-40,13
15935,2021-01-31,Havering,E09000016,-64,-23,26,-52,-30,11
31519,2021-01-31,Kensington and Chelsea,E09000020,-84,-21,-23,-77,-42,14
6195,2021-01-31,Brent,E09000005,-64,-14,6,-60,-40,12
2299,2021-01-31,Westminster,E09000033,-92,-53,-71,-84,-47,14
21779,2021-01-31,Merton,E09000024,-64,-28,11,-65,-36,12
25675,2021-01-31,Southwark,E09000028,-70,-28,-16,-71,-38,13
29571,2021-01-31,Wandsworth,E09000032,-67,-32,13,-68,-34,14
10091,2021-01-31,Ealing,E09000009,-59,-16,-3,-61,-39,12
30545,2021-01-31,Greenwich,E09000011,-68,-22,-15,-58,-39,12
24701,2021-01-31,Richmond upon Thames,E09000027,-66,-15,18,-67,-45,12
4247,2021-01-31,Barnet,E09000003,-64,-23,29,-61,-38,12
32493,2021-01-31,Kingston upon Thames,E09000021,-74,-27,43,-59,-41,12
7169,2021-01-31,Bromley,E09000006,-63,-17,13,-58,-34,12
11065,2021-01-31,Enfield,E09000010,-59,-18,1,-51,-35,11
22753,2021-01-31,Newham,E09000025,-65,-28,62,-59,-37,11
13987,2021-01-31,Haringey,E09000014,-63,-28,-3,-64,-47,13
23727,2021-01-31,Redbridge,E09000026,-57,-19,-9,-57,-35,11
8143,2021-01-31,Camden,E09000007,-83,-46,-13,-80,-42,14
28597,2021-01-31,Waltham Forest,E09000031,-54,-12,21,-60,-43,12
13013,2021-01-31,Hammersmith and Fulham,E09000013,-80,-37,0,-71,-45,14
26649,2021-01-31,Sutton,E09000029,-61,-21,27,-62,-37,11
12039,2021-01-31,Hackney,E09000012,-70,-20,15,-67,-32,12
14961,2021-01-31,Harrow,E09000015,-64,-18,31,-55,-30,11
20805,2021-01-31,Lewisham,E09000023,-57,-16,32,-62,-39,13
5221,2021-01-31,Bexley,E09000004,-65,-22,20,-57,-30,11
13986,2021-01-30,Haringey,E09000014,-66,-25,-40,-64,-48,17
22752,2021-01-30,Newham,E09000025,-70,-27,-6,-63,-40,15
15934,2021-01-30,Havering,E09000016,-67,-24,-53,-57,-33,16
12038,2021-01-30,Hackney,E09000012,-77,-20,-28,-69,-38,17
3272,2021-01-30,Barking and Dagenham,E09000002,-53,-17,-41,-51,-34,14
23726,2021-01-30,Redbridge,E09000026,-58,-22,-58,-61,-35,16
6194,2021-01-30,Brent,E09000005,-66,-19,-23,-62,-42,16
2298,2021-01-30,Westminster,E09000033,-95,-60,-86,-86,-47,19
17882,2021-01-30,Hounslow,E09000018,-59,-17,-45,-59,-37,16
20804,2021-01-30,Lewisham,E09000023,-61,-20,-36,-65,-40,18
9116,2021-01-30,Croydon,E09000008,-69,-19,-22,-68,-34,16
18856,2021-01-30,Islington,E09000019,-83,-23,-27,-76,-40,19
4246,2021-01-30,Barnet,E09000003,-66,-23,-41,-64,-40,17
31518,2021-01-30,Kensington and Chelsea,E09000020,-87,-31,-59,-79,-43,18
10090,2021-01-30,Ealing,E09000009,-61,-21,-35,-62,-40,17
7168,2021-01-30,Bromley,E09000006,-69,-18,-49,-67,-36,17
27622,2021-01-30,Tower Hamlets,E09000030,-71,-36,-64,-74,-44,18
1324,2021-01-30,City of London,E09000001,-93,-72,-95,-83,,
29570,2021-01-30,Wandsworth,E09000032,-74,-22,-30,-69,-39,20
25674,2021-01-30,Southwark,E09000028,-75,-34,-55,-72,-39,18
19830,2021-01-30,Lambeth,E09000022,-76,-20,-53,-73,-39,19
8142,2021-01-30,Camden,E09000007,-88,-50,-60,-81,-44,19
14960,2021-01-30,Harrow,E09000015,-68,-20,-27,-59,-32,16
32492,2021-01-30,Kingston upon Thames,E09000021,-79,-28,-30,-67,-40,18
30544,2021-01-30,Greenwich,E09000011,-72,-26,-67,-62,-39,17
21778,2021-01-30,Merton,E09000024,-67,-22,-43,-66,-39,17
11064,2021-01-30,Enfield,E09000010,-59,-21,-50,-57,-35,16
26648,2021-01-30,Sutton,E09000029,-67,-24,-46,-68,-38,16
5220,2021-01-30,Bexley,E09000004,-66,-21,-41,-67,-31,16
28596,2021-01-30,Waltham Forest,E09000031,-59,-14,-49,-63,-43,16
16908,2021-01-30,Hillingdon,E09000017,-61,-20,-16,-74,-34,16
24700,2021-01-30,Richmond upon Thames,E09000027,-73,-18,-46,-72,-44,19
13012,2021-01-30,Hammersmith and Fulham,E09000013,-83,-35,-40,-73,-48,19
24699,2021-01-29,Richmond upon Thames,E09000027,-66,-11,15,-68,-70,28
14959,2021-01-29,Harrow,E09000015,-58,-13,38,-60,-56,24
13011,2021-01-29,Hammersmith and Fulham,E09000013,-76,-28,-5,-67,-69,29
11063,2021-01-29,Enfield,E09000010,-51,-12,-3,-54,-51,22
19829,2021-01-29,Lambeth,E09000022,-73,-15,-16,-72,-65,30
29569,2021-01-29,Wandsworth,E09000032,-68,-14,13,-64,-66,31
9115,2021-01-29,Croydon,E09000008,-60,-10,18,-62,-55,24
12037,2021-01-29,Hackney,E09000012,-71,-9,24,-62,-63,27
3271,2021-01-29,Barking and Dagenham,E09000002,-47,-8,20,-49,-48,19
22751,2021-01-29,Newham,E09000025,-62,-18,107,-59,-57,22
32491,2021-01-29,Kingston upon Thames,E09000021,-71,-21,51,-65,-62,27
10089,2021-01-29,Ealing,E09000009,-52,-15,15,-61,-56,24
1323,2021-01-29,City of London,E09000001,-95,-76,-90,-84,-74,
16907,2021-01-29,Hillingdon,E09000017,-56,-13,21,-73,-53,23
27621,2021-01-29,Tower Hamlets,E09000030,-70,-28,-41,-72,-70,30
25673,2021-01-29,Southwark,E09000028,-70,-24,-28,-70,-65,29
30543,2021-01-29,Greenwich,E09000011,-63,-16,-11,-56,-62,25
21777,2021-01-29,Merton,E09000024,-62,-17,-7,-63,-59,26
20803,2021-01-29,Lewisham,E09000023,-51,-9,24,-62,-64,28
13985,2021-01-29,Haringey,E09000014,-56,-15,18,-61,-62,25
17881,2021-01-29,Hounslow,E09000018,-52,-18,10,-55,-55,23
4245,2021-01-29,Barnet,E09000003,-56,-16,34,-62,-58,24
8141,2021-01-29,Camden,E09000007,-86,-40,-21,-80,-70,30
26647,2021-01-29,Sutton,E09000029,-58,-18,14,-66,-60,25
15933,2021-01-29,Havering,E09000016,-59,-17,-3,-54,-55,23
18855,2021-01-29,Islington,E09000019,-81,-26,13,-75,-71,33
23725,2021-01-29,Redbridge,E09000026,-51,-14,-4,-61,-58,23
7167,2021-01-29,Bromley,E09000006,-61,-13,3,-63,-63,27
6193,2021-01-29,Brent,E09000005,-56,-9,31,-56,-55,23
5219,2021-01-29,Bexley,E09000004,-60,-13,19,-63,-56,24
2297,2021-01-29,Westminster,E09000033,-92,-53,-71,-81,-70,29
31517,2021-01-29,Kensington and Chelsea,E09000020,-82,-22,-24,-71,-67,27
28595,2021-01-29,Waltham Forest,E09000031,-48,-10,9,-61,-59,24
26646,2021-01-28,Sutton,E09000029,-54,-20,27,-69,-62,25
11062,2021-01-28,Enfield,E09000010,-49,-13,10,-58,-54,22
1322,2021-01-28,City of London,E09000001,-94,-79,-91,-86,-76,
9114,2021-01-28,Croydon,E09000008,-58,-14,29,-65,-57,25
10088,2021-01-28,Ealing,E09000009,-50,-15,30,-63,-57,23
25672,2021-01-28,Southwark,E09000028,-70,-29,-29,-73,-65,29
2296,2021-01-28,Westminster,E09000033,-92,-53,-66,-82,-72,29
30542,2021-01-28,Greenwich,E09000011,-61,-17,-3,-61,-64,25
21776,2021-01-28,Merton,E09000024,-62,-23,-5,-66,-63,27
24698,2021-01-28,Richmond upon Thames,E09000027,-66,-16,29,-70,-72,30
7166,2021-01-28,Bromley,E09000006,-59,-16,8,-68,-64,27
16906,2021-01-28,Hillingdon,E09000017,-55,-12,38,-74,-55,23
17880,2021-01-28,Hounslow,E09000018,-52,-18,20,-60,-55,23
13010,2021-01-28,Hammersmith and Fulham,E09000013,-76,-29,0,-69,-70,30
6192,2021-01-28,Brent,E09000005,-54,-13,42,-59,-57,22
22750,2021-01-28,Newham,E09000025,-63,-21,92,-64,-59,22
5218,2021-01-28,Bexley,E09000004,-58,-16,22,-67,-57,23
20802,2021-01-28,Lewisham,E09000023,-51,-11,40,-65,-66,28
14958,2021-01-28,Harrow,E09000015,-57,-20,36,-64,-56,24
8140,2021-01-28,Camden,E09000007,-86,-44,-25,-81,-73,31
28594,2021-01-28,Waltham Forest,E09000031,-47,-10,18,-62,-60,24
4244,2021-01-28,Barnet,E09000003,-56,-17,37,-64,-61,26
13984,2021-01-28,Haringey,E09000014,-55,-20,16,-63,-63,26
15932,2021-01-28,Havering,E09000016,-58,-16,-6,-57,-55,23
23724,2021-01-28,Redbridge,E09000026,-50,-19,-1,-66,-60,23
31516,2021-01-28,Kensington and Chelsea,E09000020,-79,-21,-20,-73,-68,27
27620,2021-01-28,Tower Hamlets,E09000030,-71,-36,-35,-75,-72,31
29568,2021-01-28,Wandsworth,E09000032,-67,-18,10,-67,-69,33
32490,2021-01-28,Kingston upon Thames,E09000021,-71,-26,,-66,-65,28
12036,2021-01-28,Hackney,E09000012,-69,-14,25,-65,-65,27
18854,2021-01-28,Islington,E09000019,-82,-31,8,-76,-73,32
3270,2021-01-28,Barking and Dagenham,E09000002,-47,-15,17,-52,-49,19
19828,2021-01-28,Lambeth,E09000022,-70,-18,-7,-75,-66,30
19827,2021-01-27,Lambeth,E09000022,-71,-21,-13,-76,-66,30
15931,2021-01-27,Havering,E09000016,-58,-24,-1,-58,-55,22
13009,2021-01-27,Hammersmith and Fulham,E09000013,-75,-35,-9,-69,-70,29
26645,2021-01-27,Sutton,E09000029,-55,-20,7,-68,-62,25
28593,2021-01-27,Waltham Forest,E09000031,-47,-13,6,-63,-59,24
10087,2021-01-27,Ealing,E09000009,-51,-20,11,-63,-58,24
8139,2021-01-27,Camden,E09000007,-86,-46,-28,-81,-72,30
14957,2021-01-27,Harrow,E09000015,-58,-19,20,-63,-57,24
20801,2021-01-27,Lewisham,E09000023,-52,-14,19,-66,-64,28
1321,2021-01-27,City of London,E09000001,-94,-78,-91,-86,-76,
4243,2021-01-27,Barnet,E09000003,-56,-20,11,-64,-61,26
13983,2021-01-27,Haringey,E09000014,-59,-23,-4,-66,-63,26
5217,2021-01-27,Bexley,E09000004,-58,-18,18,-66,-58,24
11061,2021-01-27,Enfield,E09000010,-52,-20,-15,-60,-54,22
25671,2021-01-27,Southwark,E09000028,-70,-31,-35,-73,-67,29
24697,2021-01-27,Richmond upon Thames,E09000027,-67,-18,4,-71,-71,29
30541,2021-01-27,Greenwich,E09000011,-63,-19,-21,-61,-63,25
27619,2021-01-27,Tower Hamlets,E09000030,-71,-37,-43,-76,-72,30
22749,2021-01-27,Newham,E09000025,-64,-25,86,-64,-57,23
29567,2021-01-27,Wandsworth,E09000032,-67,-24,5,-68,-68,32
18853,2021-01-27,Islington,E09000019,-81,-35,0,-77,-73,33
2295,2021-01-27,Westminster,E09000033,-92,-55,-70,-82,-72,29
